service_name,action,replicas,model_score,event_rate,created_at
fraud-detection,ELEVATED,2,0.91089,7,2026-06-29 19:38:30.032955
fraud-detection,ELEVATED,2,0.90253,6,2026-06-29 19:38:26.044866
fraud-detection,ELEVATED,2,0.8887,5,2026-06-29 19:38:13.959064
fraud-detection,ELEVATED,2,0.87852,5,2026-06-29 19:38:07.868757
fraud-detection,ELEVATED,2,0.93414,5,2026-06-29 19:36:53.929400
fraud-detection,ELEVATED,2,0.8714,7,2026-06-29 19:36:06.908677
fraud-detection,ELEVATED,2,0.87398,6,2026-06-29 19:35:58.326503
fraud-detection,ELEVATED,2,0.88158,9,2026-06-29 19:35:30.030897
fraud-detection,ELEVATED,2,0.89123,8,2026-06-29 19:35:28.013720
fraud-detection,ELEVATED,2,0.88977,8,2026-06-29 19:35:15.627678
fraud-detection,ELEVATED,2,0.89543,7,2026-06-29 19:35:09.577143
fraud-detection,ELEVATED,2,0.89136,7,2026-06-29 19:35:07.538596
fraud-detection,ELEVATED,2,0.89469,8,2026-06-29 19:34:57.426230
fraud-detection,ELEVATED,2,0.8978,7,2026-06-29 19:34:49.285114
fraud-detection,ELEVATED,2,0.89324,7,2026-06-29 19:34:39.203470
fraud-detection,ELEVATED,2,0.89053,6,2026-06-29 19:34:31.123996
fraud-detection,ELEVATED,2,0.87496,5,2026-06-29 19:34:25.051879
fraud-detection,ELEVATED,2,0.85418,6,2026-06-29 19:34:09.558527
fraud-detection,ELEVATED,2,0.86278,5,2026-06-29 19:34:02.841137
fraud-detection,ELEVATED,2,0.89094,7,2026-06-29 19:32:21.190698
fraud-detection,ELEVATED,2,0.89598,6,2026-06-29 19:32:11.142697
fraud-detection,ELEVATED,2,0.89064,5,2026-06-29 19:32:07.052122
fraud-detection,ELEVATED,2,0.8808,5,2026-06-29 19:32:00.974722
fraud-detection,ELEVATED,2,0.87378,5,2026-06-29 19:31:57.055876
fraud-detection,ELEVATED,2,0.89082,10,2026-06-29 19:31:34.747329
fraud-detection,ELEVATED,2,0.88924,10,2026-06-29 19:31:22.539653
fraud-detection,ELEVATED,2,0.89306,10,2026-06-29 19:31:04.366813
fraud-detection,ELEVATED,2,0.88655,10,2026-06-29 19:30:58.359386
fraud-detection,ELEVATED,2,0.88698,9,2026-06-29 19:30:56.283297
fraud-detection,ELEVATED,2,0.88419,9,2026-06-29 19:30:50.246224
fraud-detection,ELEVATED,2,0.89226,8,2026-06-29 19:30:48.448166
fraud-detection,ELEVATED,2,0.89096,8,2026-06-29 19:30:46.199805
fraud-detection,ELEVATED,2,0.889,7,2026-06-29 19:30:44.131061
fraud-detection,ELEVATED,2,0.88743,6,2026-06-29 19:30:42.102482
fraud-detection,ELEVATED,2,0.91794,7,2026-06-29 19:30:29.993723
fraud-detection,ELEVATED,2,0.90123,8,2026-06-29 19:30:19.900705
fraud-detection,ELEVATED,2,0.89165,10,2026-06-29 19:30:03.617522
fraud-detection,ELEVATED,2,0.89784,9,2026-06-29 19:29:53.485679
fraud-detection,ELEVATED,2,0.89234,8,2026-06-29 19:29:47.213443
fraud-detection,ELEVATED,2,0.88479,7,2026-06-29 19:29:35.019329
fraud-detection,ELEVATED,2,0.87243,6,2026-06-29 19:29:32.978195
fraud-detection,ELEVATED,2,0.85068,5,2026-06-29 19:29:28.957881
fraud-detection,ELEVATED,2,0.90038,5,2026-06-29 19:27:44.158123
fraud-detection,ELEVATED,2,0.87446,5,2026-06-29 19:27:42.158370
fraud-detection,ELEVATED,2,0.87836,5,2026-06-29 19:27:19.900400
fraud-detection,ELEVATED,2,0.86412,5,2026-06-29 19:26:47.213291
fraud-detection,ELEVATED,2,0.86653,7,2026-06-29 19:26:14.878069
fraud-detection,ELEVATED,2,0.89031,8,2026-06-29 19:25:52.714914
fraud-detection,ELEVATED,2,0.89308,9,2026-06-29 19:25:42.561627
fraud-detection,ELEVATED,2,0.90117,9,2026-06-29 19:25:36.544434
fraud-detection,ELEVATED,2,0.89644,8,2026-06-29 19:25:34.475742
fraud-detection,ELEVATED,2,0.90145,8,2026-06-29 19:25:32.476083
fraud-detection,ELEVATED,2,0.90756,7,2026-06-29 19:25:30.406807
fraud-detection,ELEVATED,2,0.92028,6,2026-06-29 19:24:57.942095
fraud-detection,ELEVATED,2,0.90564,5,2026-06-29 19:24:55.962693
fraud-detection,ELEVATED,2,0.88802,5,2026-06-29 19:24:49.898589
fraud-detection,ELEVATED,2,0.8884,8,2026-06-29 19:23:50.565528
fraud-detection,ELEVATED,2,0.88686,8,2026-06-29 19:23:40.338730
fraud-detection,ELEVATED,2,0.88804,8,2026-06-29 19:23:32.261152
fraud-detection,ELEVATED,2,0.88916,8,2026-06-29 19:23:28.252692
fraud-detection,ELEVATED,2,0.86926,8,2026-06-29 19:23:24.129732
fraud-detection,ELEVATED,2,0.86409,7,2026-06-29 19:23:20.031613
fraud-detection,ELEVATED,2,0.86135,6,2026-06-29 19:23:13.846890
fraud-detection,ELEVATED,2,0.8743,8,2026-06-29 19:22:57.682418
fraud-detection,ELEVATED,2,0.87744,7,2026-06-29 19:22:45.247095
fraud-detection,ELEVATED,2,0.88753,9,2026-06-29 19:22:32.990018
fraud-detection,ELEVATED,2,0.88942,9,2026-06-29 19:22:30.994030
fraud-detection,ELEVATED,2,0.88478,9,2026-06-29 19:22:24.926947
fraud-detection,ELEVATED,2,0.90299,9,2026-06-29 19:22:10.804050
fraud-detection,ELEVATED,2,0.89924,8,2026-06-29 19:22:04.762432
fraud-detection,ELEVATED,2,0.89875,8,2026-06-29 19:22:02.740589
fraud-detection,ELEVATED,2,0.90925,10,2026-06-29 19:21:40.036725
fraud-detection,ELEVATED,2,0.91257,10,2026-06-29 19:21:37.956278
fraud-detection,ELEVATED,2,0.9215,9,2026-06-29 19:21:35.925683
fraud-detection,ELEVATED,2,0.91926,8,2026-06-29 19:21:31.905420
fraud-detection,ELEVATED,2,0.92712,8,2026-06-29 19:21:25.861989
fraud-detection,ELEVATED,2,0.93183,8,2026-06-29 19:21:15.696316
fraud-detection,ELEVATED,2,0.92574,7,2026-06-29 19:21:03.519320
fraud-detection,ELEVATED,2,0.94281,8,2026-06-29 19:20:53.637369
fraud-detection,ELEVATED,2,0.94394,7,2026-06-29 19:20:43.377604
fraud-detection,ELEVATED,2,0.95403,6,2026-06-29 19:20:41.271686
fraud-detection,ELEVATED,2,0.94494,5,2026-06-29 19:20:39.103463
fraud-detection,ELEVATED,2,0.95063,4,2026-06-29 19:20:30.457341
fraud-detection,ELEVATED,2,0.95917,3,2026-06-29 19:20:24.330210
fraud-detection,ELEVATED,2,0.95565,4,2026-06-29 19:19:58.008476
fraud-detection,ELEVATED,2,0.92214,5,2026-06-29 19:19:13.143790
fraud-detection,ELEVATED,2,0.88962,8,2026-06-29 19:19:03.053509
fraud-detection,ELEVATED,2,0.87329,9,2026-06-29 19:18:42.836231
fraud-detection,ELEVATED,2,0.87777,8,2026-06-29 19:18:24.750022
fraud-detection,ELEVATED,2,0.87152,8,2026-06-29 19:18:14.544551
fraud-detection,ELEVATED,2,0.86656,7,2026-06-29 19:18:10.507518
fraud-detection,ELEVATED,2,0.8679,6,2026-06-29 19:18:08.556433
fraud-detection,ELEVATED,2,0.87586,5,2026-06-29 19:18:06.577045
fraud-detection,ELEVATED,2,0.91085,6,2026-06-29 19:17:01.072620
fraud-detection,ELEVATED,2,0.90686,7,2026-06-29 19:16:22.128538
fraud-detection,ELEVATED,2,0.92489,7,2026-06-29 19:16:18.083798
fraud-detection,ELEVATED,2,0.93633,6,2026-06-29 19:16:16.070619
fraud-detection,ELEVATED,2,0.93666,5,2026-06-29 19:16:09.999347
fraud-detection,ELEVATED,2,0.95795,4,2026-06-29 19:16:07.974726
fraud-detection,ELEVATED,2,0.89742,9,2026-06-29 19:15:35.404821
fraud-detection,ELEVATED,2,0.89834,9,2026-06-29 19:15:31.276270
fraud-detection,ELEVATED,2,0.89207,10,2026-06-29 19:15:21.172688
fraud-detection,ELEVATED,2,0.88323,9,2026-06-29 19:15:07.016911
fraud-detection,ELEVATED,2,0.88886,8,2026-06-29 19:15:05.016992
fraud-detection,ELEVATED,2,0.89773,7,2026-06-29 19:15:02.972759
fraud-detection,ELEVATED,2,0.88813,6,2026-06-29 19:14:56.982126
fraud-detection,ELEVATED,2,0.89964,9,2026-06-29 19:14:44.854021
fraud-detection,ELEVATED,2,0.90279,9,2026-06-29 19:14:38.587615
fraud-detection,ELEVATED,2,0.89871,10,2026-06-29 19:14:32.556763
fraud-detection,ELEVATED,2,0.90042,9,2026-06-29 19:14:30.517760
fraud-detection,ELEVATED,2,0.89799,8,2026-06-29 19:14:22.404253
fraud-detection,ELEVATED,2,0.9085,8,2026-06-29 19:13:56.059602
fraud-detection,ELEVATED,2,0.9243,8,2026-06-29 19:13:54.062448
fraud-detection,ELEVATED,2,0.92177,7,2026-06-29 19:13:50.020001
fraud-detection,ELEVATED,2,0.91223,6,2026-06-29 19:13:45.973770
fraud-detection,ELEVATED,2,0.94107,7,2026-06-29 19:13:41.980087
fraud-detection,ELEVATED,2,0.95402,6,2026-06-29 19:13:37.885492
fraud-detection,ELEVATED,2,0.96022,5,2026-06-29 19:13:33.840711
fraud-detection,ELEVATED,2,0.94032,6,2026-06-29 19:13:07.321768
fraud-detection,ELEVATED,2,0.93937,6,2026-06-29 19:12:55.193929
fraud-detection,ELEVATED,2,0.93346,5,2026-06-29 19:12:45.097941
fraud-detection,ELEVATED,2,0.88978,6,2026-06-29 19:12:24.476081
fraud-detection,ELEVATED,2,0.89158,5,2026-06-29 19:12:16.474064
fraud-detection,ELEVATED,2,0.91658,5,2026-06-29 19:12:04.285950
fraud-detection,ELEVATED,2,0.89337,7,2026-06-29 19:11:37.694132
fraud-detection,ELEVATED,2,0.90619,7,2026-06-29 19:11:30.926576
fraud-detection,ELEVATED,2,0.92093,6,2026-06-29 19:11:24.953720
fraud-detection,ELEVATED,2,0.9099,6,2026-06-29 19:11:14.707023
fraud-detection,ELEVATED,2,0.899,6,2026-06-29 19:10:58.287561
fraud-detection,ELEVATED,2,0.8981,6,2026-06-29 19:10:54.253399
fraud-detection,ELEVATED,2,0.88792,5,2026-06-29 19:10:44.146973
fraud-detection,ELEVATED,2,0.89294,5,2026-06-29 19:10:36.068730
fraud-detection,ELEVATED,2,0.89556,5,2026-06-29 19:10:23.521305
fraud-detection,ELEVATED,2,0.9022,6,2026-06-29 19:09:55.148934
fraud-detection,ELEVATED,2,0.91275,6,2026-06-29 19:09:36.965030
fraud-detection,ELEVATED,2,0.90673,7,2026-06-29 19:09:30.884642
fraud-detection,ELEVATED,2,0.91296,8,2026-06-29 19:09:06.625988
fraud-detection,ELEVATED,2,0.91244,7,2026-06-29 19:09:04.387095
fraud-detection,ELEVATED,2,0.91487,6,2026-06-29 19:09:00.374307
fraud-detection,ELEVATED,2,0.90569,7,2026-06-29 19:08:54.208321
fraud-detection,ELEVATED,2,0.88693,9,2026-06-29 19:08:36.034957
fraud-detection,ELEVATED,2,0.87981,9,2026-06-29 19:08:33.940202
fraud-detection,ELEVATED,2,0.88971,10,2026-06-29 19:08:15.741984
fraud-detection,ELEVATED,2,0.88186,12,2026-06-29 19:08:07.664835
fraud-detection,ELEVATED,2,0.87614,11,2026-06-29 19:07:57.026307
fraud-detection,ELEVATED,2,0.87637,10,2026-06-29 19:07:54.894340
fraud-detection,ELEVATED,2,0.87347,9,2026-06-29 19:07:52.892454
fraud-detection,ELEVATED,2,0.87357,8,2026-06-29 19:07:50.875934
fraud-detection,ELEVATED,2,0.87809,7,2026-06-29 19:07:48.882256
fraud-detection,ELEVATED,2,0.88357,6,2026-06-29 19:07:34.571665
fraud-detection,ELEVATED,2,0.89679,7,2026-06-29 19:07:28.503296
fraud-detection,ELEVATED,2,0.90226,9,2026-06-29 19:07:20.421321
fraud-detection,ELEVATED,2,0.91341,8,2026-06-29 19:07:12.420120
fraud-detection,ELEVATED,2,0.91871,7,2026-06-29 19:07:10.313341
fraud-detection,ELEVATED,2,0.94083,7,2026-06-29 19:07:08.175717
fraud-detection,SCALE,3,0.92549,15,2026-06-29 19:06:31.680776
fraud-detection,ELEVATED,2,0.92685,14,2026-06-29 19:06:29.802544
fraud-detection,ELEVATED,2,0.92728,13,2026-06-29 19:06:27.919269
fraud-detection,ELEVATED,2,0.92341,12,2026-06-29 19:06:23.908845
fraud-detection,ELEVATED,2,0.91965,11,2026-06-29 19:06:20.607442
fraud-detection,ELEVATED,2,0.92239,10,2026-06-29 19:06:09.714491
fraud-detection,ELEVATED,2,0.91796,9,2026-06-29 19:06:08.104264
fraud-detection,ELEVATED,2,0.91048,8,2026-06-29 19:06:07.737473
fraud-detection,ELEVATED,2,0.92174,7,2026-06-29 19:06:07.469666
fraud-detection,ELEVATED,2,0.93037,6,2026-06-29 19:06:00.219974
fraud-detection,ELEVATED,2,0.92078,5,2026-06-29 19:05:59.513918
fraud-detection,ELEVATED,2,0.9724,1,2026-06-29 19:03:19.631601
fraud-detection,ELEVATED,2,0.92837,8,2026-06-29 18:57:58.498250
fraud-detection,ELEVATED,2,0.9232,7,2026-06-29 18:57:54.456555
fraud-detection,ELEVATED,2,0.90003,7,2026-06-29 18:57:36.324039
fraud-detection,ELEVATED,2,0.89539,7,2026-06-29 18:57:25.792686
fraud-detection,ELEVATED,2,0.9087,9,2026-06-29 18:57:09.196609
fraud-detection,ELEVATED,2,0.92188,8,2026-06-29 18:57:07.223044
fraud-detection,ELEVATED,2,0.91119,7,2026-06-29 18:57:03.155131
fraud-detection,ELEVATED,2,0.9077,6,2026-06-29 18:57:01.124665
fraud-detection,ELEVATED,2,0.89147,6,2026-06-29 18:56:44.798951
fraud-detection,ELEVATED,2,0.92055,6,2026-06-29 18:56:28.311654
fraud-detection,ELEVATED,2,0.91818,6,2026-06-29 18:56:20.282797
fraud-detection,ELEVATED,2,0.93637,6,2026-06-29 18:56:16.117642
fraud-detection,ELEVATED,2,0.9268,5,2026-06-29 18:56:14.133375
fraud-detection,ELEVATED,2,0.90843,7,2026-06-29 18:55:49.657308
fraud-detection,ELEVATED,2,0.92756,7,2026-06-29 18:55:39.514003
fraud-detection,ELEVATED,2,0.91406,7,2026-06-29 18:55:25.326113
fraud-detection,ELEVATED,2,0.91195,8,2026-06-29 18:55:19.189700
fraud-detection,ELEVATED,2,0.9025,7,2026-06-29 18:55:11.115166
fraud-detection,ELEVATED,2,0.90182,6,2026-06-29 18:55:01.051471
fraud-detection,ELEVATED,2,0.8999,5,2026-06-29 18:54:59.005731
fraud-detection,ELEVATED,2,0.92078,5,2026-06-29 18:54:46.966250
fraud-detection,ELEVATED,2,0.87304,5,2026-06-29 18:53:16.938324
fraud-detection,ELEVATED,2,0.90423,6,2026-06-29 18:53:00.742891
fraud-detection,ELEVATED,2,0.91734,8,2026-06-29 18:52:34.347316
fraud-detection,ELEVATED,2,0.92624,8,2026-06-29 18:52:28.360247
fraud-detection,ELEVATED,2,0.925,7,2026-06-29 18:52:20.199606
fraud-detection,ELEVATED,2,0.94373,6,2026-06-29 18:52:10.084508
fraud-detection,ELEVATED,2,0.95924,5,2026-06-29 18:52:08.069948
fraud-detection,ELEVATED,2,0.92503,6,2026-06-29 18:51:41.832271
fraud-detection,ELEVATED,2,0.9088,6,2026-06-29 18:51:35.647813
fraud-detection,ELEVATED,2,0.89964,5,2026-06-29 18:51:33.585213
fraud-detection,ELEVATED,2,0.90697,8,2026-06-29 18:50:57.017300
fraud-detection,ELEVATED,2,0.90359,7,2026-06-29 18:50:49.050686
fraud-detection,ELEVATED,2,0.91652,6,2026-06-29 18:50:46.982736
fraud-detection,ELEVATED,2,0.89407,7,2026-06-29 18:50:38.846532
fraud-detection,ELEVATED,2,0.90712,6,2026-06-29 18:50:32.760406
fraud-detection,ELEVATED,2,0.92232,5,2026-06-29 18:50:26.609963
fraud-detection,ELEVATED,2,0.90861,7,2026-06-29 18:50:12.654227
fraud-detection,ELEVATED,2,0.91062,6,2026-06-29 18:50:08.187811
fraud-detection,ELEVATED,2,0.8843,6,2026-06-29 18:49:41.893528
fraud-detection,ELEVATED,2,0.87092,6,2026-06-29 18:49:39.770079
fraud-detection,ELEVATED,2,0.87189,7,2026-06-29 18:49:25.390363
fraud-detection,ELEVATED,2,0.8794,7,2026-06-29 18:49:19.487741
fraud-detection,ELEVATED,2,0.87065,6,2026-06-29 18:49:17.301050
fraud-detection,ELEVATED,2,0.88887,7,2026-06-29 18:49:03.097361
fraud-detection,ELEVATED,2,0.89829,8,2026-06-29 18:48:40.908120
fraud-detection,ELEVATED,2,0.91003,7,2026-06-29 18:48:39.145505
fraud-detection,ELEVATED,2,0.91,6,2026-06-29 18:48:26.694702
fraud-detection,ELEVATED,2,0.92004,7,2026-06-29 18:48:22.684765
fraud-detection,ELEVATED,2,0.91462,6,2026-06-29 18:48:14.605903
fraud-detection,ELEVATED,2,0.90354,5,2026-06-29 18:48:12.727014
fraud-detection,ELEVATED,2,0.90216,5,2026-06-29 18:48:00.276684
fraud-detection,ELEVATED,2,0.93496,5,2026-06-29 18:47:44.067524
fraud-detection,ELEVATED,2,0.88833,6,2026-06-29 18:47:25.885260
fraud-detection,ELEVATED,2,0.89912,6,2026-06-29 18:47:23.706671
fraud-detection,ELEVATED,2,0.89441,7,2026-06-29 18:47:05.176853
fraud-detection,ELEVATED,2,0.8775,7,2026-06-29 18:46:44.906792
fraud-detection,ELEVATED,2,0.88119,7,2026-06-29 18:46:40.860907
fraud-detection,ELEVATED,2,0.89241,8,2026-06-29 18:46:28.719232
fraud-detection,ELEVATED,2,0.89871,7,2026-06-29 18:46:24.714390
fraud-detection,ELEVATED,2,0.89493,6,2026-06-29 18:46:22.729575
fraud-detection,ELEVATED,2,0.89842,6,2026-06-29 18:46:10.626733
fraud-detection,ELEVATED,2,0.90188,5,2026-06-29 18:45:54.422994
fraud-detection,ELEVATED,2,0.88908,6,2026-06-29 18:45:44.144056
fraud-detection,ELEVATED,2,0.86247,6,2026-06-29 18:45:39.851517
