user_id,amount,location,timestamp,amount_scaled,risk_score,fraud_prediction,fraud_probability
358,7065.0,US,2026-05-14 18:57:25.456912,0.7065,0.7065,0,0.0
632,185.0,US,2026-05-14 18:57:27.477770,0.0185,0.0185,0,0.0
307,1089.0,IN,2026-05-14 18:57:29.498292,0.1089,0.1089,0,0.0
493,5053.0,US,2026-05-14 18:57:31.514096,0.5053,0.5053,0,0.0
906,6865.0,IN,2026-05-14 18:57:33.533905,0.6865,0.6865,0,0.0
627,3244.0,UK,2026-05-14 18:57:35.556961,0.3244,0.3244,0,0.0
42,9381.0,UK,2026-05-14 18:57:37.577154,0.9381,0.9381,1,1.0
554,813.0,US,2026-05-14 18:57:39.597817,0.0813,0.0813,0,0.0
209,8455.0,IN,2026-05-14 18:57:41.617603,0.8455,0.8455,1,1.0
150,2119.0,US,2026-05-14 18:57:43.636356,0.2119,0.2119,0,0.0
452,2428.0,US,2026-05-14 18:57:45.664718,0.2428,0.2428,0,0.0
343,8085.0,US,2026-05-14 18:57:47.688647,0.8085,0.8085,1,0.97
882,2550.0,UK,2026-05-14 18:57:49.711778,0.255,0.255,0,0.0
129,7362.0,UK,2026-05-14 18:57:51.792904,0.7362,0.7362,1,0.51
237,4005.0,UK,2026-05-14 18:57:53.817516,0.4005,0.4005,0,0.0
230,738.0,US,2026-05-14 18:57:55.838506,0.0738,0.0738,0,0.0
402,5358.0,IN,2026-05-14 18:57:57.864017,0.5358,0.5358,0,0.0
918,2195.0,IN,2026-05-14 18:57:59.887044,0.2195,0.2195,0,0.0
72,2779.0,UK,2026-05-14 18:58:01.905768,0.2779,0.2779,0,0.0
596,1539.0,US,2026-05-14 18:58:03.932967,0.1539,0.1539,0,0.0
434,9423.0,IN,2026-05-14 18:58:05.954778,0.9423,0.9423,1,1.0
144,5203.0,IN,2026-05-14 18:58:07.977800,0.5203,0.5203,0,0.0
410,3478.0,UK,2026-05-14 18:58:10.003160,0.3478,0.3478,0,0.0
523,7143.0,UK,2026-05-14 18:58:12.022840,0.7143,0.7143,0,0.38
520,5272.0,IN,2026-05-14 18:58:14.046166,0.5272,0.5272,0,0.0
833,928.0,IN,2026-05-14 18:58:16.080469,0.0928,0.0928,0,0.0
961,3150.0,IN,2026-05-14 18:58:18.101874,0.315,0.315,0,0.0
873,361.0,UK,2026-05-14 18:58:20.138015,0.0361,0.0361,0,0.0
679,931.0,UK,2026-05-14 18:58:22.180816,0.0931,0.0931,0,0.0
836,4857.0,IN,2026-05-14 18:58:24.200001,0.4857,0.4857,0,0.0
669,3079.0,UK,2026-05-14 18:58:26.220244,0.3079,0.3079,0,0.0
795,4498.0,US,2026-05-14 18:58:28.250119,0.4498,0.4498,0,0.0
678,8768.0,IN,2026-05-14 18:58:30.277141,0.8768,0.8768,1,1.0
417,3798.0,US,2026-05-14 18:58:32.295158,0.3798,0.3798,0,0.0
67,4321.0,UK,2026-05-14 18:58:34.321075,0.4321,0.4321,0,0.0
852,6294.0,UK,2026-05-14 18:58:36.352000,0.6294,0.6294,0,0.0
714,4209.0,IN,2026-05-14 18:58:38.385578,0.4209,0.4209,0,0.0
630,732.0,IN,2026-05-14 18:58:40.406022,0.0732,0.0732,0,0.0
887,733.0,IN,2026-05-14 18:58:42.425842,0.0733,0.0733,0,0.0
156,5633.0,US,2026-05-14 18:58:44.452296,0.5633,0.5633,0,0.0
986,4670.0,US,2026-05-14 18:58:46.469086,0.467,0.467,0,0.0
698,3293.0,UK,2026-05-14 18:58:48.496778,0.3293,0.3293,0,0.0
187,4513.0,UK,2026-05-14 18:58:50.519066,0.4513,0.4513,0,0.0
286,4542.0,US,2026-05-14 18:58:52.545767,0.4542,0.4542,0,0.0
304,4597.0,US,2026-05-14 18:58:54.580814,0.4597,0.4597,0,0.0
887,6589.0,IN,2026-05-14 18:58:56.603426,0.6589,0.6589,0,0.0
777,3469.0,US,2026-05-14 18:58:58.621563,0.3469,0.3469,0,0.0
695,121.0,IN,2026-05-14 18:59:00.639426,0.0121,0.0121,0,0.0
650,3905.0,US,2026-05-14 18:59:02.657866,0.3905,0.3905,0,0.0
651,6425.0,US,2026-05-14 18:59:04.676334,0.6425,0.6425,0,0.0
792,2041.0,IN,2026-05-14 18:59:06.693611,0.2041,0.2041,0,0.0
622,3585.0,US,2026-05-14 18:59:08.716704,0.3585,0.3585,0,0.0
654,5211.0,UK,2026-05-14 18:59:10.743772,0.5211,0.5211,0,0.0
31,4645.0,US,2026-05-14 18:59:12.762116,0.4645,0.4645,0,0.0
449,3736.0,UK,2026-05-14 18:59:14.786369,0.3736,0.3736,0,0.0
557,3811.0,IN,2026-05-14 18:59:16.804388,0.3811,0.3811,0,0.0
748,6603.0,IN,2026-05-14 18:59:18.828644,0.6603,0.6603,0,0.0
987,8817.0,UK,2026-05-14 18:59:20.846385,0.8817,0.8817,1,1.0
74,885.0,US,2026-05-14 18:59:22.873394,0.0885,0.0885,0,0.0
913,6136.0,UK,2026-05-14 18:59:24.901090,0.6136,0.6136,0,0.0
297,9949.0,UK,2026-05-14 18:59:26.921880,0.9949,0.9949,1,1.0
598,908.0,US,2026-05-14 18:59:28.939394,0.0908,0.0908,0,0.0
253,6327.0,IN,2026-05-14 18:59:30.986276,0.6327,0.6327,0,0.0
598,7317.0,IN,2026-05-14 18:59:33.004090,0.7317,0.7317,1,0.51
843,6128.0,US,2026-05-14 18:59:35.027178,0.6128,0.6128,0,0.0
558,7411.0,IN,2026-05-14 18:59:37.044839,0.7411,0.7411,1,0.51
419,3877.0,US,2026-05-14 18:59:39.060840,0.3877,0.3877,0,0.0
803,2764.0,UK,2026-05-14 18:59:41.075793,0.2764,0.2764,0,0.0
561,6881.0,US,2026-05-14 18:59:43.096373,0.6881,0.6881,0,0.0
166,9640.0,IN,2026-05-14 18:59:45.117222,0.964,0.964,1,1.0
609,1440.0,IN,2026-05-14 18:59:47.140849,0.144,0.144,0,0.0
905,9182.0,UK,2026-05-14 18:59:49.160806,0.9182,0.9182,1,1.0
487,1532.0,UK,2026-05-14 18:59:51.187304,0.1532,0.1532,0,0.0
744,9575.0,IN,2026-05-14 18:59:53.205056,0.9575,0.9575,1,1.0
315,3907.0,UK,2026-05-14 18:59:55.301068,0.3907,0.3907,0,0.0
934,6120.0,US,2026-05-14 18:59:57.317491,0.612,0.612,0,0.0
281,8120.0,US,2026-05-14 18:59:59.337586,0.812,0.812,1,0.99
640,7116.0,US,2026-05-14 19:00:01.358763,0.7116,0.7116,0,0.31
172,155.0,UK,2026-05-14 19:00:03.379287,0.0155,0.0155,0,0.0
642,7739.0,US,2026-05-14 19:00:05.399198,0.7739,0.7739,1,0.51
665,10.0,US,2026-05-14 19:00:07.432711,0.001,0.001,0,0.0
254,6152.0,US,2026-05-14 19:00:09.453311,0.6152,0.6152,0,0.0
827,6351.0,UK,2026-05-14 19:00:11.476242,0.6351,0.6351,0,0.0
593,3616.0,UK,2026-05-14 19:00:13.495243,0.3616,0.3616,0,0.0
917,8608.0,IN,2026-05-14 19:00:15.514819,0.8608,0.8608,1,1.0
615,1715.0,IN,2026-05-14 19:00:17.535523,0.1715,0.1715,0,0.0
551,2006.0,UK,2026-05-14 19:00:19.565882,0.2006,0.2006,0,0.0
995,670.0,IN,2026-05-14 19:00:21.583403,0.067,0.067,0,0.0
682,1229.0,IN,2026-05-14 19:00:23.609463,0.1229,0.1229,0,0.0
886,2464.0,IN,2026-05-14 19:00:25.647779,0.2464,0.2464,0,0.0
852,7431.0,UK,2026-05-14 19:00:27.668175,0.7431,0.7431,1,0.51
71,2053.0,US,2026-05-14 19:00:29.684238,0.2053,0.2053,0,0.0
854,7238.0,UK,2026-05-14 19:00:31.708167,0.7238,0.7238,1,0.51
185,2500.0,US,2026-05-14 19:00:33.728149,0.25,0.25,0,0.0
395,5850.0,US,2026-05-14 19:00:35.748890,0.585,0.585,0,0.0
651,8498.0,IN,2026-05-14 19:00:37.768034,0.8498,0.8498,1,1.0
952,4869.0,IN,2026-05-14 19:00:39.785814,0.4869,0.4869,0,0.0
424,2549.0,UK,2026-05-14 19:00:41.805449,0.2549,0.2549,0,0.0
413,9893.0,US,2026-05-14 19:00:43.823778,0.9893,0.9893,1,1.0
614,3343.0,US,2026-05-14 19:00:45.840838,0.3343,0.3343,0,0.0
975,3390.0,US,2026-05-14 19:00:47.860769,0.339,0.339,0,0.0
887,178.0,UK,2026-05-14 19:00:49.880534,0.0178,0.0178,0,0.0
235,1177.0,UK,2026-05-14 19:00:51.898824,0.1177,0.1177,0,0.0
480,533.0,IN,2026-05-14 19:00:53.916396,0.0533,0.0533,0,0.0
415,8482.0,US,2026-05-14 19:00:55.932141,0.8482,0.8482,1,1.0
575,2632.0,US,2026-05-14 19:00:57.954178,0.2632,0.2632,0,0.0
666,7738.0,US,2026-05-14 19:00:59.976266,0.7738,0.7738,1,0.51
674,567.0,US,2026-05-14 19:01:01.995314,0.0567,0.0567,0,0.0
179,5497.0,US,2026-05-14 19:01:04.021914,0.5497,0.5497,0,0.0
130,788.0,US,2026-05-14 19:01:06.040246,0.0788,0.0788,0,0.0
626,390.0,UK,2026-05-14 19:01:08.057194,0.039,0.039,0,0.0
60,5645.0,US,2026-05-14 19:01:10.084231,0.5645,0.5645,0,0.0
647,4003.0,US,2026-05-14 19:01:12.105015,0.4003,0.4003,0,0.0
191,5044.0,UK,2026-05-14 19:01:14.140061,0.5044,0.5044,0,0.0
905,4446.0,IN,2026-05-14 19:01:16.159573,0.4446,0.4446,0,0.0
374,8841.0,US,2026-05-14 19:01:18.176802,0.8841,0.8841,1,1.0
801,1937.0,US,2026-05-14 19:01:20.192853,0.1937,0.1937,0,0.0
35,4485.0,UK,2026-05-14 19:01:22.210964,0.4485,0.4485,0,0.0
842,5867.0,US,2026-05-14 19:01:24.231902,0.5867,0.5867,0,0.0
101,5029.0,UK,2026-05-14 19:01:26.253275,0.5029,0.5029,0,0.0
677,9822.0,IN,2026-05-14 19:01:28.273279,0.9822,0.9822,1,1.0
138,6345.0,UK,2026-05-14 19:01:30.296316,0.6345,0.6345,0,0.0
34,5091.0,US,2026-05-14 19:01:32.313016,0.5091,0.5091,0,0.0
365,4380.0,US,2026-05-14 19:01:34.331104,0.438,0.438,0,0.0
253,4847.0,US,2026-05-14 19:01:36.347823,0.4847,0.4847,0,0.0
219,1890.0,UK,2026-05-14 19:01:38.369926,0.189,0.189,0,0.0
706,6707.0,US,2026-05-14 19:01:40.393938,0.6707,0.6707,0,0.0
321,2254.0,IN,2026-05-14 19:01:42.412340,0.2254,0.2254,0,0.0
748,7997.0,IN,2026-05-14 19:01:44.430272,0.7997,0.7997,1,0.54
782,6060.0,US,2026-05-14 19:01:46.449165,0.606,0.606,0,0.0
5,7580.0,UK,2026-05-14 19:01:48.473547,0.758,0.758,1,0.51
437,2559.0,IN,2026-05-14 19:01:50.493019,0.2559,0.2559,0,0.0
822,4466.0,US,2026-05-14 19:01:52.525717,0.4466,0.4466,0,0.0
430,5748.0,UK,2026-05-14 19:01:54.545062,0.5748,0.5748,0,0.0
773,7980.0,IN,2026-05-14 19:01:56.562785,0.798,0.798,1,0.51
410,85.0,UK,2026-05-14 19:01:58.582631,0.0085,0.0085,0,0.0
513,6234.0,UK,2026-05-14 19:02:00.600730,0.6234,0.6234,0,0.0
281,2270.0,US,2026-05-14 19:02:02.616159,0.227,0.227,0,0.0
992,3601.0,IN,2026-05-14 19:02:04.635406,0.3601,0.3601,0,0.0
170,5885.0,UK,2026-05-14 19:02:06.653396,0.5885,0.5885,0,0.0
402,5303.0,IN,2026-05-14 19:02:08.674228,0.5303,0.5303,0,0.0
392,7061.0,UK,2026-05-14 19:02:10.694380,0.7061,0.7061,0,0.0
346,8372.0,UK,2026-05-14 19:02:12.716971,0.8372,0.8372,1,1.0
140,6755.0,UK,2026-05-14 19:02:14.736721,0.6755,0.6755,0,0.0
744,3082.0,IN,2026-05-14 19:02:16.755823,0.3082,0.3082,0,0.0
750,3081.0,US,2026-05-14 19:02:18.777962,0.3081,0.3081,0,0.0
829,1062.0,US,2026-05-14 19:02:20.808499,0.1062,0.1062,0,0.0
676,9527.0,US,2026-05-14 19:02:22.833708,0.9527,0.9527,1,1.0
384,2927.0,IN,2026-05-14 19:02:24.851324,0.2927,0.2927,0,0.0
402,4683.0,US,2026-05-14 19:02:26.870846,0.4683,0.4683,0,0.0
112,4232.0,US,2026-05-14 19:02:28.891428,0.4232,0.4232,0,0.0
52,4881.0,IN,2026-05-14 19:02:30.914412,0.4881,0.4881,0,0.0
73,9655.0,US,2026-05-14 19:02:32.937170,0.9655,0.9655,1,1.0
565,4733.0,UK,2026-05-14 19:02:34.961271,0.4733,0.4733,0,0.0
941,1192.0,US,2026-05-14 19:02:36.979958,0.1192,0.1192,0,0.0
335,8567.0,UK,2026-05-14 19:02:38.999441,0.8567,0.8567,1,1.0
584,5992.0,IN,2026-05-14 19:02:41.019724,0.5992,0.5992,0,0.0
615,83.0,IN,2026-05-14 19:02:43.043937,0.0083,0.0083,0,0.0
574,1158.0,IN,2026-05-14 19:02:45.061958,0.1158,0.1158,0,0.0
530,7668.0,IN,2026-05-14 19:02:47.079058,0.7668,0.7668,1,0.51
138,8577.0,UK,2026-05-14 19:02:49.098190,0.8577,0.8577,1,1.0
183,2279.0,UK,2026-05-14 19:02:51.125875,0.2279,0.2279,0,0.0
177,1741.0,IN,2026-05-14 19:02:53.148104,0.1741,0.1741,0,0.0
962,339.0,UK,2026-05-14 19:02:55.170307,0.0339,0.0339,0,0.0
264,8863.0,US,2026-05-14 19:02:57.193179,0.8863,0.8863,1,1.0
315,3009.0,IN,2026-05-14 19:02:59.212527,0.3009,0.3009,0,0.0
652,8528.0,UK,2026-05-14 19:03:01.234138,0.8528,0.8528,1,1.0
41,8368.0,UK,2026-05-14 19:03:03.258168,0.8368,0.8368,1,1.0
918,9868.0,IN,2026-05-14 19:03:05.279642,0.9868,0.9868,1,1.0
806,1243.0,UK,2026-05-14 19:03:07.300987,0.1243,0.1243,0,0.0
507,5333.0,IN,2026-05-14 19:03:09.321976,0.5333,0.5333,0,0.0
379,8100.0,US,2026-05-14 19:03:11.338400,0.81,0.81,1,0.98
478,2030.0,UK,2026-05-14 19:03:13.373079,0.203,0.203,0,0.0
530,1096.0,UK,2026-05-14 19:03:15.392133,0.1096,0.1096,0,0.0
207,726.0,IN,2026-05-14 19:03:17.417681,0.0726,0.0726,0,0.0
183,388.0,US,2026-05-14 19:03:19.436822,0.0388,0.0388,0,0.0
557,653.0,UK,2026-05-14 19:03:21.456742,0.0653,0.0653,0,0.0
626,8909.0,UK,2026-05-14 19:03:23.477914,0.8909,0.8909,1,1.0
41,664.0,US,2026-05-14 19:03:25.500255,0.0664,0.0664,0,0.0
719,5019.0,IN,2026-05-14 19:03:27.522347,0.5019,0.5019,0,0.0
350,8891.0,US,2026-05-14 19:03:29.550815,0.8891,0.8891,1,1.0
301,6311.0,UK,2026-05-14 19:03:31.570075,0.6311,0.6311,0,0.0
57,3775.0,IN,2026-05-14 19:03:33.590165,0.3775,0.3775,0,0.0
449,7508.0,US,2026-05-14 19:03:35.611908,0.7508,0.7508,1,0.51
758,5657.0,UK,2026-05-14 19:03:37.637053,0.5657,0.5657,0,0.0
921,6470.0,IN,2026-05-14 19:03:39.655060,0.647,0.647,0,0.0
939,6094.0,US,2026-05-14 19:03:41.676826,0.6094,0.6094,0,0.0
514,2528.0,IN,2026-05-14 19:03:43.696092,0.2528,0.2528,0,0.0
497,3164.0,UK,2026-05-14 19:03:45.714365,0.3164,0.3164,0,0.0
468,5391.0,US,2026-05-14 19:03:47.735392,0.5391,0.5391,0,0.0
500,1981.0,US,2026-05-14 19:03:49.755981,0.1981,0.1981,0,0.0
474,8789.0,UK,2026-05-14 19:03:51.773492,0.8789,0.8789,1,1.0
836,8093.0,US,2026-05-14 19:03:53.791799,0.8093,0.8093,1,0.98
725,4501.0,UK,2026-05-14 19:03:55.810251,0.4501,0.4501,0,0.0
286,5602.0,US,2026-05-14 19:03:57.828313,0.5602,0.5602,0,0.0
43,5575.0,UK,2026-05-14 19:03:59.848620,0.5575,0.5575,0,0.0
340,317.0,IN,2026-05-14 19:04:01.867829,0.0317,0.0317,0,0.0
510,5909.0,US,2026-05-14 19:04:03.890037,0.5909,0.5909,0,0.0
138,1765.0,US,2026-05-14 19:04:05.939508,0.1765,0.1765,0,0.0
248,7124.0,UK,2026-05-14 19:04:07.961091,0.7124,0.7124,0,0.38
838,3324.0,UK,2026-05-14 19:04:09.979086,0.3324,0.3324,0,0.0
866,3110.0,US,2026-05-14 19:04:12.000158,0.311,0.311,0,0.0
775,8725.0,US,2026-05-14 19:04:14.018563,0.8725,0.8725,1,1.0
796,6267.0,US,2026-05-14 19:04:16.036751,0.6267,0.6267,0,0.0
267,2612.0,IN,2026-05-14 19:04:18.056918,0.2612,0.2612,0,0.0
377,6489.0,US,2026-05-14 19:04:20.076097,0.6489,0.6489,0,0.0
769,442.0,UK,2026-05-14 19:04:22.095188,0.0442,0.0442,0,0.0
654,8979.0,UK,2026-05-14 19:04:24.116347,0.8979,0.8979,1,1.0
621,3668.0,US,2026-05-14 19:04:26.134085,0.3668,0.3668,0,0.0
727,8577.0,UK,2026-05-14 19:04:28.154945,0.8577,0.8577,1,1.0
969,8889.0,IN,2026-05-14 19:04:30.177117,0.8889,0.8889,1,1.0
661,1756.0,IN,2026-05-14 19:04:32.197872,0.1756,0.1756,0,0.0
319,318.0,IN,2026-05-14 19:04:34.231418,0.0318,0.0318,0,0.0
248,2593.0,UK,2026-05-14 19:04:36.252347,0.2593,0.2593,0,0.0
222,9203.0,US,2026-05-14 19:04:38.294619,0.9203,0.9203,1,1.0
397,6109.0,IN,2026-05-14 19:04:40.317880,0.6109,0.6109,0,0.0
707,9830.0,US,2026-05-14 19:04:42.338578,0.983,0.983,1,1.0
131,8044.0,IN,2026-05-14 19:04:44.359081,0.8044,0.8044,1,0.96
676,2273.0,US,2026-05-14 19:04:46.378147,0.2273,0.2273,0,0.0
267,320.0,UK,2026-05-14 19:04:48.399082,0.032,0.032,0,0.0
761,2461.0,IN,2026-05-14 19:04:50.422910,0.2461,0.2461,0,0.0
206,8462.0,US,2026-05-14 19:04:52.444325,0.8462,0.8462,1,1.0
809,9085.0,US,2026-05-14 19:04:54.463153,0.9085,0.9085,1,1.0
41,4536.0,UK,2026-05-14 19:04:56.488872,0.4536,0.4536,0,0.0
908,5383.0,UK,2026-05-14 19:04:58.507797,0.5383,0.5383,0,0.0
55,8276.0,UK,2026-05-14 19:05:00.526781,0.8276,0.8276,1,1.0
796,7190.0,IN,2026-05-14 19:05:02.547851,0.719,0.719,1,0.51
946,2858.0,UK,2026-05-14 19:05:04.565372,0.2858,0.2858,0,0.0
375,5527.0,US,2026-05-14 19:05:06.592908,0.5527,0.5527,0,0.0
876,4192.0,UK,2026-05-14 19:05:08.618290,0.4192,0.4192,0,0.0
958,5989.0,IN,2026-05-14 19:05:10.639804,0.5989,0.5989,0,0.0
721,4411.0,UK,2026-05-14 19:05:12.655872,0.4411,0.4411,0,0.0
176,344.0,IN,2026-05-14 19:05:14.679063,0.0344,0.0344,0,0.0
395,7988.0,US,2026-05-14 19:05:16.700307,0.7988,0.7988,1,0.51
72,7488.0,IN,2026-05-14 19:05:18.746986,0.7488,0.7488,1,0.51
97,6928.0,IN,2026-05-14 19:05:20.765026,0.6928,0.6928,0,0.0
87,3090.0,UK,2026-05-14 19:05:22.785852,0.309,0.309,0,0.0
440,4501.0,US,2026-05-14 19:05:24.805141,0.4501,0.4501,0,0.0
737,8073.0,US,2026-05-14 19:05:26.823511,0.8073,0.8073,1,0.96
11,6203.0,UK,2026-05-14 19:05:28.846052,0.6203,0.6203,0,0.0
734,2887.0,US,2026-05-14 19:05:30.868271,0.2887,0.2887,0,0.0
814,3656.0,UK,2026-05-14 19:05:32.887873,0.3656,0.3656,0,0.0
854,8441.0,UK,2026-05-14 19:05:34.904760,0.8441,0.8441,1,1.0
829,3757.0,UK,2026-05-14 19:05:36.924998,0.3757,0.3757,0,0.0
300,7702.0,US,2026-05-14 19:05:38.942568,0.7702,0.7702,1,0.51
420,148.0,UK,2026-05-14 19:05:40.962960,0.0148,0.0148,0,0.0
456,6179.0,UK,2026-05-14 19:05:42.984333,0.6179,0.6179,0,0.0
204,4447.0,IN,2026-05-14 19:05:45.003624,0.4447,0.4447,0,0.0
138,5144.0,US,2026-05-14 19:05:47.021756,0.5144,0.5144,0,0.0
326,7518.0,US,2026-05-14 19:05:49.040674,0.7518,0.7518,1,0.51
441,6684.0,UK,2026-05-14 19:05:51.059684,0.6684,0.6684,0,0.0
93,1514.0,US,2026-05-14 19:05:53.077925,0.1514,0.1514,0,0.0
655,2790.0,IN,2026-05-14 19:05:55.099828,0.279,0.279,0,0.0
468,7752.0,IN,2026-05-14 19:05:57.117510,0.7752,0.7752,1,0.51
386,7081.0,US,2026-05-14 19:05:59.134504,0.7081,0.7081,0,0.0
256,4066.0,IN,2026-05-14 19:06:01.150913,0.4066,0.4066,0,0.0
921,3502.0,US,2026-05-14 19:06:03.183581,0.3502,0.3502,0,0.0
619,43.0,US,2026-05-14 19:06:05.216793,0.0043,0.0043,0,0.0
101,1486.0,US,2026-05-14 19:06:07.236857,0.1486,0.1486,0,0.0
902,1264.0,UK,2026-05-14 19:06:09.258582,0.1264,0.1264,0,0.0
357,806.0,UK,2026-05-14 19:06:11.277787,0.0806,0.0806,0,0.0
402,4275.0,IN,2026-05-14 19:06:13.299615,0.4275,0.4275,0,0.0
463,6499.0,IN,2026-05-14 19:06:15.320957,0.6499,0.6499,0,0.0
397,2296.0,US,2026-05-14 19:06:17.340422,0.2296,0.2296,0,0.0
311,4255.0,IN,2026-05-14 19:06:19.359277,0.4255,0.4255,0,0.0
9,7499.0,IN,2026-05-14 19:06:21.377364,0.7499,0.7499,1,0.51
330,1764.0,IN,2026-05-14 19:06:23.397406,0.1764,0.1764,0,0.0
215,3247.0,IN,2026-05-14 19:06:25.420456,0.3247,0.3247,0,0.0
959,5402.0,UK,2026-05-14 19:06:27.441920,0.5402,0.5402,0,0.0
899,287.0,UK,2026-05-14 19:06:29.459997,0.0287,0.0287,0,0.0
844,3782.0,UK,2026-05-14 19:06:31.480858,0.3782,0.3782,0,0.0
123,9941.0,UK,2026-05-14 19:06:33.500898,0.9941,0.9941,1,1.0
692,3592.0,US,2026-05-14 19:06:35.518760,0.3592,0.3592,0,0.0
351,2675.0,US,2026-05-14 19:06:37.536531,0.2675,0.2675,0,0.0
652,7587.0,UK,2026-05-14 19:06:39.563167,0.7587,0.7587,1,0.51
247,783.0,IN,2026-05-14 19:06:41.584334,0.0783,0.0783,0,0.0
929,9134.0,UK,2026-05-14 19:06:43.603244,0.9134,0.9134,1,1.0
479,4504.0,IN,2026-05-14 19:06:45.623820,0.4504,0.4504,0,0.0
